#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:true">
#                <taxonset id="TaxonSet.true" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true" name="distribution" x="@birthRate.t:true">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true" id="treeLikelihood.true" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true">
#            <siteModel id="SiteModel.s:true" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-8311.309534737027	-8300.899147701046	-10.410387035981923	-8300.899147701046	3.5338720092411458	-10.410387035981923	1.0
1000	-8208.360716638434	-8202.822316133965	-5.538400504469227	-8202.822316133965	1.001001279077586	-5.538400504469227	0.7255359631282025
2000	-8210.702658306123	-8204.121472661884	-6.581185644239049	-8204.121472661884	0.9961799874065922	-6.581185644239049	1.8059987681667415
3000	-8208.732201126864	-8202.444986305227	-6.2872148216376385	-8202.444986305227	1.0840632024911696	-6.2872148216376385	1.4292882385044787
4000	-8209.17607781489	-8203.403011660223	-5.773066154665795	-8203.403011660223	1.1322731020711612	-5.773066154665795	0.8240711889808721
5000	-8208.612973911408	-8203.124392065027	-5.4885818463817335	-8203.124392065027	0.974475322603338	-5.4885818463817335	1.0471476333004073
6000	-8210.376777254472	-8204.848893948345	-5.5278833061278725	-8204.848893948345	1.0081247632835646	-5.5278833061278725	0.9900347616268953
7000	-8212.836988965057	-8207.235848044145	-5.601140920911616	-8207.235848044145	1.1711203968697066	-5.601140920911616	0.8663258078346895
8000	-8207.562188850943	-8201.896812092462	-5.665376758480678	-8201.896812092462	1.0445430664062907	-5.665376758480678	1.0558029624439513
9000	-8209.302984967237	-8203.682932408201	-5.620052559035572	-8203.682932408201	1.026826323280107	-5.620052559035572	0.858584189223746
10000	-8207.783719048228	-8201.91165979464	-5.872059253588603	-8201.91165979464	1.050103306294349	-5.872059253588603	1.296867904780615
11000	-8208.194116941404	-8202.544357534664	-5.649759406741101	-8202.544357534664	1.0555950951855246	-5.649759406741101	0.7819805534317137
12000	-8207.923746408533	-8202.336202604842	-5.587543803690611	-8202.336202604842	1.0023696321771247	-5.587543803690611	0.7187216049191153
13000	-8209.539030675629	-8203.381099001632	-6.157931673996596	-8203.381099001632	1.030226717196523	-6.157931673996596	1.3993234021136458
14000	-8210.19894833925	-8203.012774698642	-7.186173640608307	-8203.012774698642	1.0361076010540458	-7.186173640608307	1.72766088819293
15000	-8212.009252993248	-8205.555148366375	-6.454104626872743	-8205.555148366375	1.0051816640638938	-6.454104626872743	1.5509667603058241
16000	-8208.286419887521	-8202.716692562704	-5.569727324817174	-8202.716692562704	1.028953745300191	-5.569727324817174	0.7513660608923786
17000	-8215.215433953355	-8208.931404380688	-6.2840295726670075	-8208.931404380688	1.1626857204675654	-6.2840295726670075	1.0977604544930593
18000	-8209.652154692774	-8203.839140108235	-5.813014584538528	-8203.839140108235	1.139093274936702	-5.813014584538528	1.0411629133667086
19000	-8208.015625501943	-8202.372368067929	-5.643257434013484	-8202.372368067929	1.0626930227461941	-5.643257434013484	1.1948402837340142
20000	-8209.667522679289	-8203.700576555253	-5.966946124036286	-8203.700576555253	1.0500803588259353	-5.966946124036286	0.5795366726149348
